time,trueDist,trueAngle,estimatedDist,estimatedAngleDg
1.16976E+12,2,50,2.326,54.60287788
1.17019E+12,2,50,2.288,55.9206808
1.17062E+12,2,50,2.307,68.12468184
1.17105E+12,2,50,2.307,59.75949803
,2,50,2.298,58.38439932
1.56747E+12,2,50,2.288,46.81065186
1.5679E+12,2,50,2.279,58.728174
1.56833E+12,2,50,2.307,68.29656918
1.56876E+12,2,50,2.307,60.73352628
1.56919E+12,2,50,2.326,43.31560931
1.56962E+12,2,50,2.317,57.46766685
1.57005E+12,2,50,2.298,64.80152663
1.57048E+12,2,50,2.317,55.11853989
1.57091E+12,2,50,2.317,68.2392734
1.57134E+12,2,50,2.317,54.02992008
1.57177E+12,2,50,2.307,57.98332887
1.57219E+12,2,50,2.298,47.09713076
1.57262E+12,2,50,2.298,49.2170746
1.57305E+12,2,50,2.288,60.27516005
1.57348E+12,2,50,2.27,65.4317802
1.57388E+12,2,50,2.298,67.83820294
1.57431E+12,2,50,2.298,49.10248304
1.57477E+12,2,50,2.27,63.65561104
1.5752E+12,2,50,2.279,59.41572336
1.5756E+12,2,50,2.307,44.34693334
1.57606E+12,2,50,2.298,47.09713076
1.57646E+12,2,50,2.317,55.40501879
1.57689E+12,2,50,2.307,56.72282172
1.57735E+12,2,50,2.288,52.94130027
1.57778E+12,2,50,2.317,51.68079312
1.57821E+12,2,50,2.307,60.73352628
1.57864E+12,2,50,2.326,50.42028597
1.57907E+12,2,50,2.307,48.35763791
1.57989E+12,2,50,2.288,68.64034386
1.58E+12,2,50,2.326,57.98332887
1.58035E+12,2,50,2.279,58.21251199
1.58078E+12,2,50,2.317,46.29498985
1.58207E+12,2,50,2.288,46.35228563
1.5825E+12,2,50,2.288,45.0344827
1.58293E+12,2,50,2.317,57.0665964
1.58336E+12,2,50,2.307,46.23769407
1.58379E+12,2,50,2.317,55.46231457
1.58422E+12,2,50,2.307,63.59831526
1.58487E+12,2,50,2.307,51.90997624
1.58505E+12,2,50,2.335,52.0245678
1.58548E+12,2,50,2.298,54.37369476
1.58594E+12,2,50,2.279,51.50890578
1.58634E+12,2,50,2.288,51.90997624
1.58852E+12,2,50,2.326,52.59752559
1.58895E+12,2,50,2.317,52.3110467
1.58938E+12,2,50,2.279,59.87408959
1.5898E+12,2,50,2.288,47.44090544
1.5902E+12,2,50,2.298,41.71132749
1.59063E+12,2,50,2.317,52.94130027
1.59109E+12,2,50,2.307,50.19110285
1.59152E+12,2,50,2.298,53.17048339
1.59195E+12,2,50,2.307,53.05589183
1.59235E+12,2,50,2.326,66.92147047
1.59281E+12,2,50,2.279,59.87408959
1.59336E+12,2,50,2.279,44.11775023
1.59364E+12,2,50,2.317,51.39431422
1.59407E+12,2,50,2.335,48.30034213
1.59453E+12,2,50,2.307,46.92524342
1.59496E+12,2,50,2.288,47.67008855
1.59539E+12,2,50,2.326,50.93594799
1.59582E+12,2,50,2.288,54.71746943
1.59625E+12,2,50,2.317,62.62428701
1.59664E+12,2,50,2.298,57.81144153
1.59711E+12,2,50,2.288,48.41493369
1.5975E+12,2,50,2.298,48.18575057
1.59843E+12,2,50,2.307,57.52496263
1.59882E+12,2,50,2.288,51.50890578
1.59925E+12,2,50,2.335,52.25375092
1.59968E+12,2,50,2.317,53.62884962
1.60011E+12,2,50,2.307,52.25375092
1.60097E+12,2,50,2.288,60.38975161
1.60137E+12,2,50,2.307,54.48828632
1.60183E+12,2,50,2.307,49.10248304
1.60226E+12,2,50,2.307,58.49899088
1.60285E+12,2,50,2.307,67.55172405
1.60312E+12,2,50,2.298,55.51961035
1.60355E+12,2,50,2.298,52.08186358
1.60398E+12,2,50,2.298,53.85803274
1.60437E+12,2,50,2.288,49.10248304
1.6048E+12,2,50,2.298,39.82056676
1.60586E+12,2,50,2.307,63.31183636
1.60612E+12,2,50,2.326,49.27437038
1.60652E+12,2,50,2.298,53.57155384
1.60698E+12,2,50,2.279,47.03983498
1.60738E+12,2,50,2.298,49.2170746
1.60784E+12,2,50,2.298,51.96727202
1.60827E+12,2,50,2.298,61.87944187
1.6087E+12,2,50,2.335,52.36834247
1.60913E+12,2,50,2.317,56.14986392
1.60956E+12,2,50,2.288,52.19645514
1.60999E+12,2,50,2.288,63.88479416
1.61091E+12,2,50,2.298,54.88935677
1.61128E+12,2,50,2.307,56.4936386
1.61171E+12,2,50,2.326,56.09256814
1.61214E+12,2,50,2.307,52.54022981
1.61253E+12,2,50,2.317,49.44625772
1.613E+12,2,50,2.317,57.00930062
1.61386E+12,2,50,2.307,55.80608925
1.61429E+12,2,50,2.288,59.70220225
1.61468E+12,2,50,2.288,46.58146874
1.61511E+12,2,50,2.326,51.39431422
1.61557E+12,2,50,2.307,48.12845479
1.616E+12,2,50,2.317,59.24383602
1.6164E+12,2,50,2.317,40.33622878
1.61683E+12,2,50,2.298,55.97797658
1.61726E+12,2,50,2.317,47.78468011
1.61772E+12,2,50,2.307,58.90006134
1.61903E+12,2,50,2.307,51.16513111
1.61944E+12,2,50,2.298,47.32631388
1.61987E+12,2,50,2.335,62.45239967
1.6203E+12,2,50,2.317,53.05589183
1.6207E+12,2,50,2.298,39.30490475
1.62116E+12,2,50,2.298,50.47758175
1.62183E+12,2,50,2.317,58.55628666
1.62202E+12,2,50,2.307,54.5455821
1.62245E+12,2,50,2.288,56.14986392
1.62284E+12,2,50,2.317,44.28963756
1.62331E+12,2,50,2.307,54.83206099
1.62373E+12,2,50,2.279,53.91532852
1.62416E+12,2,50,2.288,58.728174
1.62456E+12,2,50,2.307,50.82135643
1.62499E+12,2,50,2.288,70.30192146
1.62542E+12,2,50,2.298,42.05510216
1.62684E+12,2,50,2.298,57.29577951
1.62714E+12,2,50,2.307,61.87944187
1.6276E+12,2,50,2.288,43.37290509
1.62803E+12,2,50,2.307,51.7380889
1.62846E+12,2,50,2.307,45.26366582
1.62889E+12,2,50,2.298,47.89927167
1.62932E+12,2,50,2.279,59.35842758
1.62984E+12,2,50,2.298,55.40501879
1.63018E+12,2,50,2.317,59.87408959
1.63061E+12,2,50,2.307,58.4416951
1.63104E+12,2,50,2.288,50.82135643
1.63147E+12,2,50,2.307,49.27437038
1.63233E+12,2,50,2.288,57.35307529
1.63275E+12,2,50,2.317,54.02992008
1.63318E+12,2,50,2.298,65.20259709
1.63361E+12,2,50,2.288,51.7380889
1.63404E+12,2,50,2.298,47.09713076
1.63483E+12,2,50,2.317,61.82214609
1.63496E+12,2,50,2.317,46.46687719
1.63533E+12,2,50,2.288,51.50890578
1.63573E+12,2,50,2.326,42.11239794
1.63619E+12,2,50,2.298,63.88479416
1.63662E+12,2,50,2.298,67.9527945
1.63737E+12,2,50,2.307,51.96727202
1.6375E+12,2,50,2.298,45.09177848
1.63791E+12,2,50,2.317,59.64490647
1.63834E+12,2,50,2.317,46.46687719
1.63877E+12,2,50,2.288,54.71746943
1.63982E+12,2,50,2.317,50.13380707
1.64048E+12,2,50,2.279,63.13994902
1.64091E+12,2,50,2.307,68.2392734
1.64134E+12,2,50,2.317,48.18575057
1.64227E+12,2,50,2.288,44.7480038
1.64263E+12,2,50,2.317,53.91532852
1.64306E+12,2,50,2.326,63.13994902
1.64349E+12,2,50,2.279,52.59752559
1.64392E+12,2,50,2.298,52.19645514
1.64479E+12,2,50,2.326,56.66552594
1.64521E+12,2,50,2.307,47.67008855
1.64561E+12,2,50,2.317,48.98789148
1.64607E+12,2,50,2.307,58.04062465
1.6465E+12,2,50,2.288,48.35763791
1.64693E+12,2,50,2.288,49.7900324
1.64738E+12,2,50,2.288,50.64946909
1.64775E+12,2,50,2.317,54.14451164
1.64818E+12,2,50,2.298,45.0344827
1.64864E+12,2,50,2.298,46.75335608
1.64907E+12,2,50,2.307,49.04518726
1.65006E+12,2,50,2.279,50.76406065
2.19934E+12,2,50,2.307,57.29577951
2.20055E+12,2,50,2.307,53.6861454
2.20098E+12,2,50,2.335,50.42028597
2.20141E+12,2,50,2.317,55.17583567
2.20184E+12,2,50,2.279,51.56620156
2.2027E+12,2,50,2.307,51.79538468
2.20312E+12,2,50,2.307,57.58225841
2.20352E+12,2,50,2.279,40.50811612
2.20398E+12,2,50,2.317,55.46231457
2.20483E+12,2,50,2.307,58.84276556
2.20527E+12,2,50,2.288,50.76406065
2.2057E+12,2,50,2.326,51.33701844
2.20613E+12,2,50,2.298,49.84732818
2.20656E+12,2,50,2.307,43.48749665
2.20699E+12,2,50,2.288,56.14986392
2.20742E+12,2,50,2.317,53.28507495
2.20785E+12,2,50,2.317,53.80073696
2.20828E+12,2,50,2.307,65.14530131
2.20868E+12,2,50,2.345,43.60208821
2.20911E+12,2,50,2.298,59.98868115
2.21E+12,2,50,2.317,48.35763791
2.21043E+12,2,50,2.298,53.45696229
2.21086E+12,2,50,2.288,60.73352628
2.21129E+12,2,50,2.335,58.15521621
2.21232E+12,2,50,2.317,46.58146874
2.21257E+12,2,50,2.307,46.81065186
2.213E+12,2,50,2.326,49.7900324
2.21343E+12,2,50,2.298,44.7480038
2.21386E+12,2,50,2.279,42.16969372
2.21429E+12,2,50,2.326,48.24304635
2.21531E+12,2,50,2.307,35.40879174
2.21558E+12,2,50,2.307,49.10248304
2.21601E+12,2,50,2.298,57.69684997
2.21644E+12,2,50,2.288,50.93594799
2.21687E+12,2,50,2.317,54.20180742
2.2173E+12,2,50,2.288,53.62884962
2.21773E+12,2,50,2.317,52.88400449
2.21816E+12,2,50,2.326,51.68079312
2.21859E+12,2,50,2.307,50.76406065
2.21902E+12,2,50,2.298,47.555497
2.21987E+12,2,50,2.307,53.45696229
2.22031E+12,2,50,2.307,62.05132921
2.22073E+12,2,50,2.307,46.00851095
2.22116E+12,2,50,2.335,45.83662361
2.22159E+12,2,50,2.307,52.82670871
2.22233E+12,2,50,2.317,41.08107391
2.22249E+12,2,50,2.317,57.29577951
2.22288E+12,2,50,2.307,52.99859605
2.22328E+12,2,50,2.298,41.13836969
2.22374E+12,2,50,2.298,59.0146529
2.22417E+12,2,50,2.326,48.87329992
2.22485E+12,2,50,2.279,58.04062465
2.22503E+12,2,50,2.307,43.60208821
2.22546E+12,2,50,2.298,49.33166616
2.22589E+12,2,50,2.317,46.40958141
2.22847E+12,2,50,2.288,55.40501879
2.22886E+12,2,50,2.317,52.94130027
2.22933E+12,2,50,2.298,47.95656745
2.22975E+12,2,50,2.307,49.5035535
2.23018E+12,2,50,2.326,52.36834247
2.23058E+12,2,50,2.279,42.7999473
2.23104E+12,2,50,2.307,42.85724308
2.23147E+12,2,50,2.307,61.99403343
2.2319E+12,2,50,2.298,54.2591032
2.23233E+12,2,50,2.279,65.89014644
2.23329E+12,2,50,2.307,43.48749665
2.23362E+12,2,50,2.307,37.35684824
2.23405E+12,2,50,2.307,55.06124411
2.23448E+12,2,50,2.288,54.77476521
2.23491E+12,2,50,2.288,45.66473627
2.23534E+12,2,50,2.326,47.38360966
2.2362E+12,2,50,2.307,58.95735712
2.23663E+12,2,50,2.317,69.55707633
2.23706E+12,2,50,2.279,57.18118795
2.23749E+12,2,50,2.288,65.48907598
2.23838E+12,2,50,2.27,53.62884962
2.23877E+12,2,50,2.298,50.07651129
2.2392E+12,2,50,2.317,55.86338503
2.2396E+12,2,50,2.307,47.44090544
2.24006E+12,2,50,2.307,33.57532679
2.24049E+12,2,50,2.317,58.55628666
2.24092E+12,2,50,2.27,59.93138537
2.24135E+12,2,50,2.288,49.33166616
2.24178E+12,2,50,2.307,51.16513111
2.24218E+12,2,50,2.298,43.14372197
2.24264E+12,2,50,2.298,53.9726243
2.24327E+12,2,50,2.307,49.73273662
2.24393E+12,2,50,2.326,48.52952525
2.24436E+12,2,50,2.307,56.89470906
2.24479E+12,2,50,2.298,42.7999473
2.24693E+12,2,50,2.279,46.52417296
2.24736E+12,2,50,2.307,44.97718692
2.24779E+12,2,50,2.307,59.12924446
2.24822E+12,2,50,2.298,51.56620156
2.24865E+12,2,50,2.298,46.40958141
2.24908E+12,2,50,2.279,49.15977882
2.24951E+12,2,50,2.307,51.7380889
2.24994E+12,2,50,2.279,59.98868115
2.25037E+12,2,50,2.307,58.55628666
2.2512E+12,2,50,2.307,46.92524342
2.25166E+12,2,50,2.307,51.68079312
2.25209E+12,2,50,2.307,50.42028597
2.25248E+12,2,50,2.307,35.40879174
2.25295E+12,2,50,2.298,49.67544084
2.25338E+12,2,50,2.326,42.85724308
2.25381E+12,2,50,2.317,57.18118795
2.25424E+12,2,50,2.288,66.11932956
2.25467E+12,2,50,2.307,55.06124411
2.25595E+12,2,50,2.307,51.22242688
2.25638E+12,2,50,2.288,47.555497
2.25681E+12,2,50,2.307,52.54022981
2.25724E+12,2,50,2.288,51.90997624
2.25767E+12,2,50,2.288,56.37904704
2.25884E+12,2,50,2.317,53.22777917
2.259E+12,2,50,2.307,47.09713076
2.25939E+12,2,50,2.307,48.87329992
2.25982E+12,2,50,2.326,49.61814506
2.26025E+12,2,50,2.288,180
2.26127E+12,2,50,2.326,48.87329992
2.26154E+12,2,50,2.317,51.50890578
2.26197E+12,2,50,2.317,49.84732818
2.2624E+12,2,50,2.288,50.70676487
2.26279E+12,2,50,2.279,48.01386323
2.26326E+12,2,50,2.326,55.29042723
2.26429E+12,2,50,2.298,46.46687719
2.26454E+12,2,50,2.307,52.48293403
2.26497E+12,2,50,2.279,57.41037107
2.2654E+12,2,50,2.298,60.50434317
2.26583E+12,2,50,2.307,50.24839863
2.26626E+12,2,50,2.298,58.61358244
2.26723E+12,2,50,2.298,51.56620156
2.26755E+12,2,50,2.317,59.64490647
2.26798E+12,2,50,2.298,49.10248304
2.26927E+12,2,50,2.288,60.90541362
2.27013E+12,2,50,2.307,51.96727202
2.27056E+12,2,50,2.288,58.26980776
2.27099E+12,2,50,2.326,42.68535574
2.27142E+12,2,50,2.307,51.62349734
2.27185E+12,2,50,2.326,43.60208821
2.27227E+12,2,50,2.317,43.31560931
2.2727E+12,2,50,2.288,51.10783533
2.27313E+12,2,50,2.307,57.23848373
2.27356E+12,2,50,2.307,60.33245583
2.27399E+12,2,50,2.298,50.36299019
2.27474E+12,2,50,2.307,54.5455821
2.2749E+12,2,50,2.307,59.3011318
2.27528E+12,2,50,2.298,41.71132749
